0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:04:05 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:04:05 +0530] "GET /frontend_proj/resources/css/registration.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:04:42 +0530] "GET /frontend_proj/login HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:04:42 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:04:42 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:04 +0530] "POST /frontend_proj/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:04 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6167
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:04 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:04 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:04 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:04 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:04 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:14 +0530] "GET /frontend_proj/cart/purchasedetails HTTP/1.1" 403 1042
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:17 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6167
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:17 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:25 +0530] "GET /frontend_proj/resources/images/168.png HTTP/1.1" 200 40364
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:26 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:29 +0530] "GET /frontend_proj/admin/getproductform HTTP/1.1" 200 4586
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:29 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:29 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/168.png HTTP/1.1" 200 40364
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:35 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:41 +0530] "GET /frontend_proj/admin/updateproductform/164 HTTP/1.1" 200 4659
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:41 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:41 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:51 +0530] "GET /frontend_proj/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:51 +0530] "GET /frontend_proj/logout HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:51 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:05:51 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:07 +0530] "POST /frontend_proj/j_spring_security_check HTTP/1.1" 302 -
