127.0.0.1 - - [05/Oct/2018:16:01:48 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:03:23 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:03:23 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:03:23 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:03:23 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:03:23 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:03:23 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:03:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:04:25 +0530] "GET /frontend_proj/all/registrationform HTTP/1.1" 200 8461
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:04:25 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:04:25 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:04:25 +0530] "GET /frontend_proj/resources/css/registration.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/all/searchByCategory?searchCondition=Books HTTP/1.1" 200 8277
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/168.png HTTP/1.1" 200 40364
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:17 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 8272
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:05:21 +0530] "GET /frontend_proj/resources/images/168.png HTTP/1.1" 200 40364
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:08 +0530] "GET /frontend_proj/all/getproduct/164 HTTP/1.1" 200 3784
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:08 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:08 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:08 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 8272
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/resources/images/168.png HTTP/1.1" 200 40364
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:31 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:40 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:40 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:40 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:40 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:40 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:09:40 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:39 +0530] "GET /frontend_proj/login HTTP/1.1" 200 3414
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:39 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:39 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:56 +0530] "POST /frontend_proj/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:57 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6680
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:57 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:57 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:57 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:57 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:10:57 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:11:09 +0530] "GET /frontend_proj/admin/getproductform HTTP/1.1" 200 5443
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:11:09 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:11:09 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:11:13 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 10503
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:11:13 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:11:13 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:11:13 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [05/Oct/2018:16:11:13 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
