127.0.0.1 - - [12/Sep/2018:15:42:06 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:06 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:06 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:07 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:07 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:07 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:07 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:07 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:21 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:21 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:21 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:21 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:21 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:21 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:27 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:27 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:27 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:30 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 4752
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:30 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:30 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:30 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:30 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:43:44 +0530] "GET /frontend_proj/all/getproduct/67 HTTP/1.1" 500 24406
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:44:01 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 4752
