0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:08:45 +0530] "GET /frontend_proj/admin/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:55 +0530] "POST /frontend_proj/admin/saveorupdateproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:56 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 8320
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:56 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:56 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:56 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:56 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:56 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:56 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:56 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:09:56 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:10:26 +0530] "GET /frontend_proj/admin/getproductform HTTP/1.1" 200 5463
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:10:26 +0530] "GET /frontend_proj/admin/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:10:26 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "POST /frontend_proj/admin/saveorupdateproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 9052
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:12:51 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:13:05 +0530] "GET /frontend_proj/admin/getproductform HTTP/1.1" 200 5463
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:13:05 +0530] "GET /frontend_proj/admin/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:13:05 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "POST /frontend_proj/admin/saveorupdateproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 9782
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:04 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:12 +0530] "GET /frontend_proj/admin/getproductform HTTP/1.1" 200 5463
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:12 +0530] "GET /frontend_proj/admin/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:15:12 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "POST /frontend_proj/admin/saveorupdateproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/all/getallproducts HTTP/1.1" 200 10521
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/all/resources/css/Navbar.css HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/resources/images/niit.jpg HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [14/Sep/2018:17:17:11 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
